year,quarter,sentence,kust_score,kust_label
2022,1,There's no question the ﬁrst quarter was extremely volatile.,0.9881950616836548,Negative
2022,1,I believe we're entering a period that won't be -- that won't be the case and the consequences for ﬁnancial markets will be meaningful.,0.9007726907730103,Negative
2022,1,The recent turbulence is nothing to change our ﬁrm's client-oriented strategy .,0.9673606157302856,Negative
2022,1,"This meant that some parts of our ﬁrm faced signiﬁcant headwinds, like equity capital markets, where issuance volumes were lackluster for the quarter .",0.9999979734420776,Negative
2022,1,But there's no question that the most signiﬁcant event of the ﬁrst quarter was the invasion of Ukraine.,0.8060230016708374,Negative
2022,1,The overall direct ﬁnancial impact from Russia and Ukraine related instruments on our ﬁrst quarter revenues was a net loss of approximately $300 million.,0.9999879598617554,Negative
2022,1,"More broadly , the Russian invasion has further complicated the geopolitical landscape and created an additional level of uncertainty that I expect will outlast the war itself.",0.999752938747406,Negative
2022,1,W e're seeing new stress on supply chain and commodity prices and US households are facing rising gas prices as well as higher prices for food and housing.,0.9998663663864136,Negative
2022,1,W e've also seen an increased risk of stagﬂation and mixed signals on consumer conﬁdence.,0.9999991655349731,Negative
2022,1,"In equity underwriting, net revenues were $261 million, down signiﬁcantly versus a record performance in the ﬁrst quarter of 2021 on the lower industry issuance volumes that David mentioned.",0.9999980926513672,Negative
2022,1,"Debt underwriting net revenues were $743 million, 16% lower versus the prior year , driven by lower results in leveraged ﬁnance and asset-backed activity .",0.9999995231628418,Negative
2022,1,"Equities intermediation revenues fell 16% year-over-year , driven by lower activity in both cash and derivatives due to fewer market-making opportunities compared to a very strong backdrop at the start of 2021.",0.9999986886978149,Negative
2022,1,"Moving to Asset Management on page six, ﬁrst quarter revenues were $546 million, materially lower than the ﬁrst quarter of last year due to market headwinds in equity investments and lending and debt investments.",0.9999998807907104,Negative
2022,1,"Net revenues for equity investments were negative $360 our public and private portfolios, we experienced substantial losses tied to Russia-related positions, all of which have been written down to 0.",0.9999988079071045,Negative
2022,1,"More broadly , we experienced additional headwinds due to the overall market environment.",0.9999986886978149,Negative
2022,1,"All in, we experienced roughly $620 million of net losses in our public portfolio, of fset by approximately $255 million in net gains across our private portfolio, largely due to event-driven items, including asset sales and ﬁnancing rounds.",0.99953293800354,Negative
2022,1,"In W ealth Management, quarterly management and other fees were $1.3 billion, down 2% versus the fourth quarter of 2021 on seasonality and counseling fees, but up 17% year-over-year .",0.997099757194519,Negative
